address,source,name,creation_date
SCAT URBAM GRAND YOFF VILLA N...,http://creationdentreprise.sn/yonei-sarl,YONEI- SARL,22/11/2016
528 AVENUE BOURGUIBA SICAP...,http://creationdentreprise.sn/micro-banking-software-succursale,MICRO BANKING SOFTWARE- SUCCURSALE,07/11/2016
DIEUPPEUL 1 N° 2176,http://creationdentreprise.sn/amaana-sarl,AMAANA - SARL,27/12/2016
CITE MAMELLES AVIATION N° 59,http://creationdentreprise.sn/inter-fish-sarl,INTER FISH -SARL,22/11/2016
AVENUE ANDRE PEYTAVIN...,http://creationdentreprise.sn/africa-duty-free-sarl,AFRICA DUTY FREE - SARL,17/11/2016
MAMELLES VILLA N° 393,http://creationdentreprise.sn/afrik-innov-bat-sarl,AFRIK INNOV BAT- SARL,18/11/2016
AMITIE 2 DERRIERE HOPITAL...,http://creationdentreprise.sn/bama-ingenierie-constructions-sarl,BAMA INGENIERIE CONSTRUCTIONS- SARL,21/11/2016
RUFISQUE CITE CAMI BASS VILLA...,http://creationdentreprise.sn/groupe-pro-med-international-sarl,GROUPE PRO MED INTERNATIONAL - SARL,17/11/2016
AVENUE BLAISE DIAGNE X RUE 1,http://creationdentreprise.sn/societe-senegalaise-de-pavage-et-multiservices-suarl-sspm-suarl,SOCIETE SENEGALAISE DE PAVAGE ET MULTISERVICES - SUARL SSPM-SUARL,16/11/2016
43 RUE DE THIONG,http://creationdentreprise.sn/services-du-batiment-et-des-travaux-publics-sarl-sedubatp-sarl,SERVICES DU BATIMENT ET DES TRAVAUX PUBLICS -SARL/ SEDUBATP- SARL,11/11/2016
5 BOULEVARD DE LA LIBERATION...,http://creationdentreprise.sn/abg-transit-imex-sarl,ABG TRANSIT IMEX -SARL,15/11/2016
FASS BATIMENT N° 19B,http://creationdentreprise.sn/bib-voyage-suarl,BIB VOYAGE- SUARL,11/11/2016
PLACE BAKOU BOULEVARD COMMUNE...,http://creationdentreprise.sn/savia-sarl,SAVIA- SARL,15/11/2016
GOLF SUD PARCELLE N° 189/E,http://creationdentreprise.sn/senegalaise-de-commerce-et-de-prestation-de-services-sarl-secoprest-sarl,SENEGALAISE DE COMMERCE ET DE PRESTATION DE SERVICES -SARL/ SECOPREST -SARL,30/09/2016
THIAROYE SUR MER QUARTIER...,http://creationdentreprise.sn/agro-business-and-consulting-sarl-groupe-abc-sarl,AGRO BUSINESS AND CONSULTING - SARL / GROUPE ABC- SARL,30/09/2016
CITE AIR AFRIQUE N° 75,http://creationdentreprise.sn/societe-de-negoce-international-de-consulting-et-de-services-sarl-sonicos-sarl,SOCIETE DE NEGOCE INTERNATIONAL DE CONSULTING ET DE SERVICES - SARL / SONICOS -SARL,07/11/2016
MERMOZ VILLA N° 7460,http://creationdentreprise.sn/sinedis-suarl,SINEDIS - SUARL,11/11/2016
KEUR MBAYE FALL RUE 10 PRES...,http://creationdentreprise.sn/natural-production-sarl,NATURAL PRODUCTION - SARL,11/11/2016
ROND PONIT JET D'EAU,http://creationdentreprise.sn/dubai-shop-sarl,DUBAI SHOP - SARL,11/11/2016
SICAP SACRE COEUR 3 VILLA N°...,http://creationdentreprise.sn/global-travel-services-sarl-gts-sarl,GLOBAL TRAVEL SERVICES - SARL / GTS- SARL,11/11/2016
NGOR ALMADIES ROUTE DE L...,http://creationdentreprise.sn/agro-lica-sarl,AGRO LICA - SARL,11/11/2016
PARCELLES ASSAINIES KEUR...,http://creationdentreprise.sn/societe-civile-immobiliere-sunukeur-sci-sunukeur,SOCIETE CIVILE IMMOBILIERE SUNUKEUR- SCI SUNUKEUR,11/11/2016
LIBERTE VI EXTENSION CITE...,http://creationdentreprise.sn/holding-2-group-sa,HOLDING 2 A GROUP -SA,07/11/2016
FANN HOCK RUE 61 X 72,http://creationdentreprise.sn/expert-ressources-humaines-international-suarl-erhi-suarl,EXPERT RESSOURCES HUMAINES INTERNATIONAL - SUARL/ ERHI- SUARL,11/11/2016
87 RUE AMADOU ASSANE NDOYE,http://creationdentreprise.sn/nataplast-suarl,NATAPLAST - SUARL,11/11/2016
"KM 4,5 BOULEVARD DU...",http://creationdentreprise.sn/commerce-general-senegal-suarl-coges-suarl,COMMERCE GENERAL SENEGAL- SUARL / COGES- SUARL,11/11/2016
76 RUE CARNOT DAKAR,http://creationdentreprise.sn/wina-wax-sarl,WINA WAX- SARL,11/11/2016
64 RUE VINCENS DAKAR,http://creationdentreprise.sn/senegal-business-travel-sarl-sbt-sarl,SENEGAL BUSINESS TRAVEL - SARL /SBT- SARL,11/11/2016
LIBERTE 6 VDN LOT N° 23,http://creationdentreprise.sn/de-pique-sarl,AS DE PIQUE - SARL,21/11/2016
FRONT DE TERRE COTE IPM...,http://creationdentreprise.sn/sorre-barre-multiservices-sarl-sbm-sarl,SORRE BARRE MULTISERVICES- SARL / SBM -SARL,11/11/2016
